PS_SMILES,SD
C[Si](C)(C)OC.CCCCCC,41.41
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CCCCCC,8.75
CCC(C)C#N.CCCCCC,0.17
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCCCCC,1.19
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCCCCC,1.15
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCCCCC,3.57
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCCCCC,0.83
C[Si](C)(C)OC.c1ccccc1C,35.18
CCC(C)C#N.c1ccccc1C,2.25
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.c1ccccc1C,5.04
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.c1ccccc1C,3.29
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.c1ccccc1C,19.28
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.c1ccccc1C,4.13
C/C(C)=C(C)\[Si](C)(C)C.CCOC(=O)C,16.91
C[Si](C)(C)OC.CCOC(=O)C,26.91
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CCOC(=O)C,15.65
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCOC(=O)C,8.63
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCOC(=O)C,9.2
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCOC(=O)C,4.0
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCOC(=O)C,15.08
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCOC(=O)C,6.15
C/C(C)=C(C)\[Si](C)(C)C.CCC(=O)C,18.07
C[Si](C)(C)OC.CCC(=O)C,21.08
CCC(C)C#N.CCC(=O)C,0.3
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCC(=O)C,11.79
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCC(=O)C,11.17
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCC(=O)C,5.43
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCC(=O)C,17.01
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCC(=O)C,6.94
C/C(C)=C(C)\[Si](C)(C)C.CC(=O)C,12.92
C[Si](C)(C)OC.CC(=O)C,9.28
CCC(C)C#N.CC(=O)C,0.27
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CC(=O)C,11.82
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CC(=O)C,5.94
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CC(=O)C,15.58
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CC(=O)C,7.17
C/C(C)=C(C)\[Si](C)(C)C.CC(C)O,27.51
C[Si](C)(C)OC.CC(C)O,10.71
