DA_SMILES,calc_PCE_percent
CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,9.461
CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,8.719
CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1,9.994
CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,7.771
CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CCCCC(C)CC)s6)c5s4)s3)c2n1.CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,7.822
CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(SCC(CC)CCCC)s6)c5s4)s3)c2n1.CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,3.841
CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3ccc(CCCCCCCCC(C)CCCCCC)s3)c3cc(C)sc23)s1.CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,6.43
CCCCCCCCc1ccc(-c2c3sc4cc(-c5ccc(-c6sc(-c7ccc(C)s7)c7c6C(=O)c6c(CC(CC)CCCC)sc(CC(CC)CCCC)c6C7=O)s5)sc4c3c(-c3ccc(CCCCCCCC)s3)c3sc4cc(C)sc4c23)s1.CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,10.366
CCCCCCC(CCCC)CSOC(=O)c1cc(-c2cc(C(=O)OSCC(CCCC)CCCCCC)c(-c3ccc(C)s3)s2)sc1-c1ccc(C)s1.CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,5.901
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,4.929
CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1.CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,11.085
CCCCCCCCCCCCSSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SSCCCCCCCCCCCC)s3)c3cc(C)sc23)s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,6.908
CCCCCCCCCCCCSSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SSCCCCCCCCCCCC)s3)c3cc(C)sc23)s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,9.3
CCCCCCC(CCCC)CSOC(=O)c1cc(-c2cc(C(=O)OSCC(CCCC)CCCCCC)c(-c3ccc(C)s3)s2)sc1-c1ccc(C)s1.CCCCCCC(CCCC)CSc1ccc(C2(c3ccc(SCC(CCCC)CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCC(CCCC)CCCCCC)cc2)(c2ccc(SCC(CCCC)CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc23)cc1,10.353
